,Activity Date,Activity ID,Activity Name,Activity Type,Elapsed Time,Max Heart Rate,Relative Effort,Elapsed Time.1,Moving Time,Max Heart Rate.1,Average Heart Rate,tavg,tmin,tmax,prcp,wdir,wspd,pres
122,2025-01-22,13424084736,6x500m w/ a cheeky burrito post workout (not pictured),Rowing,3979,205.0,82.0,3979.0,3979.0,205.0,147.32821655273438,24.8,16.0,35.1,0.0,11.0,1.0,1042.1
123,2025-01-23,13427876824,Sunset Run!!,Run,1804,160.0,44.0,1804.0,1666.0,160.0,152.85169982910156,26.4,19.9,33.1,0.0,309.0,1.9,1033.8
124,2025-01-22,13427911199,Wednesday Weights 🏋🏻,Weight Training,2863,148.0,9.0,2863.0,2863.0,148.0,109.7401351928711,24.8,16.0,35.1,0.0,11.0,1.0,1042.1
125,2025-01-23,13436669367,OYO3,Ride,684,145.0,7.0,684.0,684.0,145.0,135.4780731201172,26.4,19.9,33.1,0.0,309.0,1.9,1033.8
126,2025-01-23,13436669414,OYO2,Rowing,3105,152.0,37.0,3105.0,3105.0,152.0,136.91336059570312,26.4,19.9,33.1,0.0,309.0,1.9,1033.8
127,2025-01-25,13451340554,5x1500 (24/28/Open/28/24),Rowing,7070,186.0,120.0,7070.0,7070.0,186.0,143.76406860351562,25.0,17.1,37.0,0.0,0.0,0.1,1031.1
128,2025-01-24,13451541466,Afternoon Row,Rowing,5350,177.0,104.0,5350.0,5036.0,177.0,146.5802459716797,26.8,18.0,37.0,0.0,352.0,1.4,1028.5
129,2025-01-27,13466692617,"25’, 2x8’ @30’ pace, 20’",Rowing,5546,182.0,148.0,5546.0,5546.0,182.0,151.72195434570312,25.7,19.0,36.0,0.0,358.0,0.3,1032.3
130,2025-01-28,13485110987,pilates 💪🏻,Workout,1782,102.0,3.0,1782.0,1782.0,102.0,87.97755432128906,25.2,19.0,36.0,0.0,2.0,0.2,1028.2
131,2025-01-28,13485111080,tuesday walk w/ georgia :),Walk,2791,114.0,7.0,2791.0,2791.0,114.0,99.4872817993164,25.2,19.0,36.0,0.0,2.0,0.2,1028.2
132,2025-01-29,13485111186,last 30’ of the season 🔥🔥🔥,Rowing,5466,198.0,127.0,5466.0,5466.0,198.0,151.5784912109375,26.4,19.0,39.9,0.0,2.0,0.6,1022.5
133,2025-01-28,13485111350,circuit x stadiums/jump rope,Workout,3492,179.0,45.0,3492.0,3492.0,179.0,138.81729125976562,25.2,19.0,36.0,0.0,2.0,0.2,1028.2
134,2025-01-30,13488746685,HUMP DAY RUN,Run,1474,163.0,38.0,1474.0,1456.0,163.0,153.51431274414062,30.9,21.9,45.0,0.0,5.0,0.5,1019.0
135,2025-01-29,13497518680,Wednesday Weights,Weight Training,2901,138.0,7.0,2901.0,2901.0,138.0,101.5084457397461,26.4,19.0,39.9,0.0,2.0,0.6,1022.5
136,2025-01-30,13497518739,OYO,Ride,2561,156.0,61.0,2561.0,2561.0,156.0,149.25302124023438,30.9,21.9,45.0,0.0,5.0,0.5,1019.0
137,2025-01-31,13506135018,Afternoon Row,Rowing,4968,175.0,59.0,4968.0,4679.0,175.0,134.59205627441406,39.0,33.1,44.1,0.386,118.0,7.3,1009.0
138,2025-01-31,13548002957,gym date w/ roomie!,Workout,3017,133.0,9.0,3017.0,3017.0,133.0,112.01889038085938,39.0,33.1,44.1,0.386,118.0,7.3,1009.0
139,2025-02-03,13548003651,~mondays~,Rowing,4079,175.0,80.0,4079.0,4079.0,175.0,144.51361083984375,33.1,28.9,37.0,0.031,79.0,5.1,1010.6
140,2025-02-04,13548003903,xtraining and music trivia,Workout,5171,182.0,49.0,5171.0,5171.0,182.0,124.94488525390624,24.8,19.9,28.0,0.154,89.0,5.0,1009.1
141,2025-02-04,13548003915,OYO,Ride,1950,162.0,36.0,1950.0,1950.0,162.0,145.62103271484375,24.8,19.9,28.0,0.154,89.0,5.0,1009.1
142,2025-02-05,13548004091,2k prepared 😏,Rowing,4370,191.0,93.0,4370.0,4370.0,191.0,145.74966430664062,23.7,19.9,27.0,0.146,24.0,2.7,1013.9
143,2025-02-01,13550414696,Morning Row,Rowing,8610,175.0,72.0,8610.0,8050.0,175.0,129.33953857421875,37.6,32.0,43.0,0.0,247.0,9.8,1009.9
144,2025-02-06,13560178475,Wed Weights!,Weight Training,3600,,,3600.0,3600.0,,,27.5,23.0,33.1,0.067,360.0,0.5,1017.3
145,2025-02-06,13560181686,OYO SWIM,Swim,3600,,,3600.0,3600.0,,,27.5,23.0,33.1,0.067,360.0,0.5,1017.3
146,2025-02-07,13568986210,NCAAs pt1 🔥,Rowing,2946,178.0,53.0,2946.0,2946.0,178.0,144.95010375976562,25.7,21.9,33.1,0.0,343.0,3.3,1018.7
147,2025-02-08,13574884213,NCAAs pt2 🔥 🔥,Rowing,4015,183.0,43.0,4015.0,4015.0,183.0,133.1255340576172,25.3,21.9,30.0,0.075,34.0,2.1,1026.6
