,Activity ID,Activity Date,Activity Name,Activity Type,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Elapsed Time.1,Moving Time,Max Heart Rate.1,Average Heart Rate,Relative Effort.1
147,13574884213,2025-02-08,NCAAs pt2 🔥 🔥,Rowing,4015,0,183.0,43.0,4015.0,4015.0,183.0,133.1255340576172,43.0
148,13586690630,2025-02-09,Afternoon Snowshoe,Snowshoe,4337,3.10,160.0,20.0,4337.0,3595.0,160.0,121.77815246582033,20.0
149,13594041165,2025-02-10,looong monday,Rowing,5156,0,162.0,89.0,5156.0,5156.0,162.0,142.4691619873047,89.0
150,13600292286,2025-02-11,xtraining,Workout,4709,0,179.0,84.0,4709.0,4709.0,179.0,136.69271850585938,84.0
151,13609528979,2025-02-12,hump day 🐪,Rowing,5449,0,174.0,99.0,5449.0,5449.0,174.0,142.5428466796875,99.0
152,13643244845,2025-02-15,saturday 8s,Rowing,58017,"8,702",161.0,23.0,58017.0,3637.0,161.0,122.3851318359375,23.0
153,13645624941,2025-02-16,sunday 8s!,Rowing,5088,"13,397",165.0,24.0,5088.0,4834.0,165.0,119.30066680908205,24.0
154,13646640575,2025-02-16,sunday pair!,Rowing,3270,"3,413",150.0,10.0,3270.0,3086.0,150.0,112.7742691040039,10.0
155,13652295352,2025-02-17,sunday pair!!,Rowing,3898,"9,563",156.0,45.0,3898.0,3824.0,156.0,137.03707885742188,45.0
156,13655104612,2025-02-17,monday pair!,Rowing,1018,"1,874",155.0,7.0,1018.0,996.0,155.0,125.71885681152344,7.0
157,13655104787,2025-02-17,final pracy!,Rowing,4987,"11,477",168.0,45.0,4987.0,4608.0,168.0,131.25967407226562,45.0
